gene_id,num_transcripts,avg_pre_splice_length,avg_post_splice_length,avg_exon_count,avg_exon_length,avg_gc_content,avg_viennaRNA_energy,avg_RNAstructure_energy,avg_internal_priming_count
ENSG00000188976,1,1261.0,867.6,6,178.3,58.9,-9.5,-11.4,0.53
ENSG00000078808,4,1141.8,938.7,5,155.7,52.1,-11.8,-11.0,0.59
ENSG00000160087,3,1160.1,878.5,9,125.9,48.4,-10.0,-10.4,0.31
ENSG00000127054,1,1164.1,893.9,10,139.1,58.5,-9.4,-12.2,0.54
ENSG00000175756,5,1163.6,857.4,5,179.3,45.6,-14.7,-12.3,0.73
ENSG00000221978,1,1182.4,880.2,5,125.1,41.2,-11.0,-15.5,0.8
ENSG00000242485,5,1244.0,871.0,9,121.3,59.3,-13.8,-8.2,0.83
ENSG00000160072,4,1149.5,839.2,9,163.8,44.9,-15.3,-11.7,0.56
ENSG00000197785,5,1205.7,900.6,7,146.6,57.2,-14.1,-11.9,0.57
ENSG00000160075,1,1260.9,909.8,10,138.7,54.5,-15.1,-14.2,0.1
ENSG00000078369,3,1153.9,961.0,9,173.8,53.2,-8.6,-11.8,0.97
ENSG00000162585,4,1211.7,924.1,9,123.9,43.3,-11.9,-11.6,0.45
ENSG00000157916,5,1193.9,932.3,7,138.9,45.3,-11.9,-12.4,0.32
ENSG00000130764,1,1177.6,996.7,7,141.2,58.6,-8.2,-8.5,0.93
ENSG00000116251,5,1268.4,861.2,9,135.8,48.4,-9.6,-14.1,0.03
ENSG00000116237,1,1172.4,898.1,5,120.8,49.2,-9.6,-11.0,0.22
ENSG00000097021,4,1188.2,833.9,7,161.1,46.3,-9.9,-14.2,0.88
ENSG00000162408,5,1125.3,902.2,9,195.8,49.3,-10.8,-10.8,0.36
ENSG00000007923,1,1117.3,920.9,9,193.3,40.1,-13.4,-14.2,0.07
ENSG00000171735,1,1135.3,997.8,8,141.0,44.9,-12.0,-10.8,0.65
ENSG00000116288,2,1153.0,934.0,9,135.7,56.3,-12.3,-13.7,0.31
ENSG00000074800,2,1185.4,850.9,9,183.8,52.2,-11.2,-10.1,0.68
ENSG00000171612,2,1170.6,955.3,5,195.1,42.5,-10.0,-12.4,0.18
ENSG00000162441,1,1280.4,812.6,10,175.1,57.9,-15.6,-15.4,0.13
ENSG00000142657,4,1284.9,848.6,7,192.8,42.3,-10.3,-12.8,0.3
ENSG00000160049,1,1249.2,858.2,9,126.1,48.2,-15.0,-11.4,0.45
ENSG00000120948,1,1254.9,837.3,8,136.3,43.6,-12.7,-10.1,0.92
ENSG00000116649,1,1100.5,828.6,5,163.8,41.5,-10.7,-10.0,0.34
ENSG00000171824,2,1198.8,838.8,5,154.8,54.0,-15.7,-8.8,0.22
